Date,VQNPX
2022-01-31,-0.045671579821465746
2022-02-28,-0.028714378942788832
2022-03-31,0.03650615901455767
2022-04-30,-0.08102852203975797
2022-05-31,0.004467434751939781
2022-06-30,-0.0877808988764045
2022-07-31,0.09083910700538866
2022-08-31,-0.03834391907786394
2022-09-30,-0.08953033268101773
2022-10-31,0.08355722729715209
2022-11-30,0.05380609967765926
2022-12-31,-0.0623529411764705
2023-01-31,0.0624843161856965
2023-02-28,-0.02290977798771865
2023-03-31,0.025380710659898664
2023-04-30,0.009429514380009385
2023-05-31,0.003035964502569044
2023-06-30,0.07171129220023276
2023-07-31,0.03106669563328257
2023-08-31,-0.0179098187947746
2023-09-30,-0.044196524350997635
2023-10-31,-0.017059483726150404
2023-11-30,0.08860470427038147
2023-12-31,0.042584434654919345
2024-01-31,0.024949698189134617
2024-02-29,0.06085590891244608
2024-03-31,0.03386380458919325
2024-04-30,-0.040988007875425114
2024-05-31,0.047219111608809206
2024-06-30,0.036535376938157116
2024-07-31,0.0015474552957359666
2024-08-31,0.023690987124463492
2024-09-30,0.017105483816870715
2024-10-31,-0.0029678483099753183
2024-11-30,0.05870679675872337
