Date,VEMAX
2022-01-31,0.004062838569880878
2022-02-28,-0.04289182627461563
2022-03-31,-0.024520856820744008
2022-04-30,-0.055475296157180054
2022-05-31,0.005812174977057438
2022-06-30,-0.04409975669099764
2022-07-31,-0.008590518612790365
2022-08-31,0.0019255455712452463
2022-09-30,-0.10153747597693785
2022-10-31,-0.03458110516934054
2022-11-30,0.14475627769571653
2022-12-31,-0.020967741935483786
2023-01-31,0.07775947281713336
2023-02-28,-0.06236624885356157
2023-03-31,0.025105966742745345
2023-04-30,-0.0060432569974555594
2023-05-31,-0.024639999999999995
2023-06-30,0.042979002624671914
2023-07-31,0.05882352941176472
2023-08-31,-0.056446821152703386
2023-09-30,-0.020780856423173844
2023-10-31,-0.034083601286173715
2023-11-30,0.06757656458055927
2023-12-31,0.03305269722482085
2024-01-31,-0.03501358285541811
2024-02-29,0.040037535189239915
2024-03-31,0.015639097744361008
2024-04-30,0.01066034942256433
2024-05-31,0.019337825959566235
2024-06-30,0.02213279678068414
2024-07-31,0.00984251968503913
2024-08-31,0.011138958507379781
2024-09-30,0.07022858716606994
2024-10-31,-0.031137416366443627
2024-11-30,-0.01885790172642765
