Date,VEUSX
2022-01-31,-0.03848637479013306
2022-02-28,-0.04593687038280725
2022-03-31,-0.004927495424468464
2022-04-30,-0.05829088851160169
2022-05-31,0.02043269230769229
2022-06-30,-0.10188457008245
2022-07-31,0.05147540983606569
2022-08-31,-0.07343311506080452
2022-09-30,-0.09692074709742549
2022-10-31,0.08142351406744908
2022-11-30,0.13818056512749832
2022-12-31,-0.01619739630638828
2023-01-31,0.09155254654562239
2023-02-28,-0.016492810826050253
2023-03-31,0.02479575748889218
2023-04-30,0.04139860139860141
2023-05-31,-0.05157131345688948
2023-06-30,0.043188898329085124
2023-07-31,0.02836975702456912
2023-08-31,-0.0409186906019009
2023-09-30,-0.04280209193503992
2023-10-31,-0.030625449317038034
2023-11-30,0.09670720854345882
2023-12-31,0.054638896402488646
2024-01-31,-0.013080276994101192
2024-02-29,0.022609147609147673
2024-03-31,0.03850063532401515
2024-04-30,-0.024593172641624972
2024-05-31,0.06485198193677877
2024-06-30,-0.03239486394157143
2024-07-31,0.02873143413683943
2024-08-31,0.03680473372781057
2024-09-30,0.0036525510786440396
2024-10-31,-0.0552712384851588
2024-11-30,-0.017214397496087552
