Date,VSEQX
2022-01-31,-0.058703766542246405
2022-02-28,0.008291276135544257
2022-03-31,0.018591347872720654
2022-04-30,-0.0698490698490698
2022-05-31,0.009433962264151052
2022-06-30,-0.10429906542056067
2022-07-31,0.10475792988313848
2022-08-31,-0.0260672459387985
2022-09-30,-0.0950349107835532
2022-10-31,0.1161594513501929
2022-11-30,0.051459293394777283
2022-12-31,-0.051862673484295074
2023-01-31,0.0943759630200307
2023-02-28,-0.014079549454417362
2023-03-31,-0.04284184219921472
2023-04-30,-0.013800820589332297
2023-05-31,-0.02042360060514381
2023-06-30,0.09845559845559859
2023-07-31,0.04217926186291732
2023-08-31,-0.03541315345699825
2023-09-30,-0.04650349650349661
2023-10-31,-0.05830583058305827
2023-11-30,0.09267912772585674
2023-12-31,0.10406272273699213
2024-01-31,-0.010329244673983218
2024-02-29,0.05022831050228316
2024-03-31,0.05465838509316767
2024-04-30,-0.060070671378091856
2024-05-31,0.03916040100250617
2024-06-30,-0.011757612300271392
2024-07-31,0.07199511897498478
2024-08-31,0.004268639726807022
2024-09-30,0.023236044205157347
2024-10-31,-0.011077263915812763
2024-11-30,0.09577149257910955
